Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,650,1000,800,05 Jun 2017,2017,Jun,5,2017-06-05
1,1.0,1.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,650,1000,850,30 May 2017,2017,May,30,2017-05-30
2,2.0,2.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2000,1450,02 Aug 2017,2017,Aug,2,2017-08-02
3,3.0,3.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2100,1500,03 Aug 2017,2017,Aug,3,2017-08-03
4,4.0,4.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2100,1500,04 Aug 2017,2017,Aug,4,2017-08-04
5,5.0,5.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2100,1500,05 Aug 2017,2017,Aug,5,2017-08-05
6,6.0,6.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2200,1600,06 Aug 2017,2017,Aug,6,2017-08-06
7,7.0,7.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2200,1600,07 Aug 2017,2017,Aug,7,2017-08-07
8,8.0,8.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2400,1600,10 Aug 2017,2017,Aug,10,2017-08-10
9,9.0,9.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,2400,1700,09 Aug 2017,2017,Aug,9,2017-08-09
10,10.0,10.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,3000,2000,12 Aug 2017,2017,Aug,12,2017-08-12
11,11.0,11.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,3000,2100,13 Aug 2017,2017,Aug,13,2017-08-13
12,12.0,12.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,3000,2100,14 Aug 2017,2017,Aug,14,2017-08-14
13,13.0,13.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,3000,2100,15 Aug 2017,2017,Aug,15,2017-08-15
14,14.0,14.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,900,3000,2100,16 Aug 2017,2017,Aug,16,2017-08-16
15,15.0,15.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,12 Jul 2017,2017,Jul,12,2017-07-12
16,16.0,16.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,13 Jul 2017,2017,Jul,13,2017-07-13
17,17.0,17.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,14 Jul 2017,2017,Jul,14,2017-07-14
18,18.0,18.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,15 Jul 2017,2017,Jul,15,2017-07-15
19,19.0,19.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,16 Jul 2017,2017,Jul,16,2017-07-16
20,20.0,20.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,17 Jul 2017,2017,Jul,17,2017-07-17
21,21.0,21.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,20 Jul 2017,2017,Jul,20,2017-07-20
22,22.0,22.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,21 Jul 2017,2017,Jul,21,2017-07-21
23,23.0,23.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,970,960,22 Jul 2017,2017,Jul,22,2017-07-22
24,24.0,24.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,950,1050,1000,05 Jul 2017,2017,Jul,5,2017-07-05
