0,1,2,3,4,5,6,7,8,9
1,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3201,3201.0,3201,16 Feb 2017
2,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3301,3901.0,3601,03 Mar 2017
3,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3552,3801.0,3676,27 Feb 2017
4,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3580,3822.0,3701,01 Mar 2017
5,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3701,4201.0,3951,13 Feb 2017
6,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3711,3861.0,3786,24 Feb 2017
7,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3711,4000.0,3855,23 Feb 2017
8,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3751,4052.0,3901,20 Feb 2017
9,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3752,3752.0,3752,25 Feb 2017
10,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3761,4051.0,3906,15 Mar 2017
11,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3800,4250.0,4025,30 Jan 2017
12,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3800,4351.0,4075,06 Jan 2017
13,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3801,3801.0,3801,28 Feb 2017
14,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3801,4055.0,3928,10 Feb 2017
15,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3825,3825.0,3825,14 Sep 2016
16,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3825,3891.0,3858,08 Feb 2017
17,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3831,4103.0,3967,06 Mar 2017
18,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3850,3850.0,3850,14 Feb 2017
19,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3850,4050.0,3950,11 Feb 2017
20,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3851,3851.0,3851,13 Jul 2017
21,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3851,3901.0,3876,09 Feb 2017
22,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3851,3951.0,3901,09 Mar 2017
23,Bikaner,Bikaner (Grain),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3851,4076.0,3963,15 Feb 2017
